intent,pattern,response,response_te,language,category
symptom_report,i have stiff joints,Stiff joints can be due to arthritis. Do you have joint pain swelling or body pain?,కీళ్ల బిగుతు ఉందా. కీళ్ల నొప్పులు వాపు లేదా ఒంటి నొప్పులు ఉన్నాయా?,en,symptom
symptom_report,i have swollen joints,Swollen joints require rheumatology review. Do you have joint pain or stiffness?,కీళ్ల వాపు ఉందా. కీళ్ల నొప్పులు లేదా బిగుతు ఉందా?,en,symptom
symptom_report,i have joint swelling,Swelling in joints indicates inflammation. Do you have joint pain or stiffness?,కీళ్ల వాపు ఉందా. కీళ్ల నొప్పులు లేదా బిగుతు ఉందా?,en,symptom
symptom_report,i have heel pain,Heel pain can be plantar fasciitis. Do you have joint pain or muscle cramps?,మడమ నొప్పి ఉందా. కీళ్ల నొప్పి లేదా కండరాల తిమ్మిరి ఉందా?,en,symptom
symptom_report,i have mouth ulcers,Mouth ulcers can be due to vitamin deficiency. Do you have bleeding gums or bad breath?,నోటి పూత ఉందా. చిగుళ్ల నుండి రక్తం లేదా నోటి దుర్వాసన ఉందా?,en,symptom
symptom_report,i have difficulty swallowing,Difficulty swallowing requires urgent ENT exam. Do you have sore throat or hoarseness?,మింగడంలో ఇబ్బంది ఉందా. గొంతు నొప్పి లేదా గొంతు బొంగురుపోవడం ఉందా?,en,symptom
symptom_report,i have chest tightness,Warning: Chest tightness can indicate cardiovascular or respiratory emergencies. Go to ER.,హెచ్చరిక: ఛాతీ బిగుతు గుండె లేదా శ్వాసకోశ అత్యవసర పరిస్థితి కావచ్చు.,en,emergency
symptom_report,i have pale stools,Pale stools can be a liver or gallbladder concern. Do you have abdominal pain or yellow eyes?,లేత రంగు మలం ఉందా. కడుపు నొప్పి లేదా కళ్ళు పచ్చబడటం ఉన్నాయా?,en,symptom
symptom_report,i have severe itching,Severe itching can be allergic or systemic. Do you have skin rash or dry skin?,తీవ్రమైన దురద ఉందా. చర్మంపై దద్దుర్లు లేదా పొడి చర్మం ఉందా?,en,symptom
symptom_report,i feel confused,Warning: Confusion can indicate severe systemic illness or neurological emergencies. Go to ER.,హెచ్చరిక: గందరగోళం అనేది తీవ్రమైన నరాల లేదా వ్యవస్థాగత అత్యవసర పరిస్థితి.,en,emergency
symptom_report,i have memory loss,Memory loss can be neurological. Do you have confusion dizziness or headache?,జ్ఞాపకశక్తి తగ్గడం ఉందా. గందరగోళం కళ్ళు తిరగడం లేదా తలనొప్పి ఉందా?,en,symptom
symptom_report,i have tremor,Tremors require neurological evaluation. Do you have dizziness numbness or weakness?,వణుకు ఉందా. కళ్ళు తిరగడం తిమ్మిరి లేదా బలహీనత ఉందా?,en,symptom
symptom_report,i have seizures,Warning: Seizures require immediate medical care. Protect the patient and seek emergency help.,హెచ్చరిక: ఫిట్స్ (మూర్ఛ) రావడం అత్యవసర పరిస్థితి. వెంటనే అత్యవసర చికిత్స తీసుకోండి.,en,emergency
symptom_report,i fainted,Warning: Fainting requires medical investigation. Please seek immediate help.,హెచ్చరిక: స్పృహ తప్పడం అత్యవసర పరిస్థితి. వెంటనే వైద్య సహాయం తీసుకోండి.,en,emergency
symptom_report,i have burning urination,Burning during urination is a common symptom of UTI. Do you have frequent urination?,మూత్రవిసర్జనలో మంట ఉందా. తరచుగా మూత్రవిసర్జన ఉందా?,en,symptom
symptom_report,i have double sight,Double sight is double vision. Do you have blurred vision or headache?,రెండుగా కనిపించడం ఉందా. మసక చూపు లేదా తలనొప్పి ఉందా?,en,emergency
symptom_report,i have sneezing,Sneezing is common in colds and allergies. Do you have runny nose itchy eyes or sore throat?,తుమ్ములు ఉన్నాయా. ముక్కు కారడం కళ్ల దురద లేదా గొంతు నొప్పి ఉందా?,en,symptom
symptom_report,i feel weak,Weakness or fatigue requires rest. Do you have fever body pain or joint pain?,బలహీనత లేదా అలసట ఉందా. జ్వరం ఒంటి నొప్పులు లేదా కీళ్ల నొప్పులు ఉన్నాయా?,en,symptom
symptom_report,i feel anxious,Anxiety can cause palpitations or breathing difficulty. Do you have insomnia or irritability?,ఆందోళనగా ఉందా. నిద్రలేమి లేదా చిరాకు ఉందా?,en,symptom
symptom_report,i feel depressed,Depression affects daily function. Do you have insomnia weight loss or fatigue?,నిరాశగా ఉందా. నిద్రలేమి బరువు తగ్గడం లేదా అలసట ఉందా?,en,symptom
symptom_report,i have sleep problems,Sleep problems or insomnia require sleep hygiene. Do you have headache fatigue or irritability?,నిద్ర సమస్యలు ఉన్నాయా. తలనొప్పి అలసట లేదా చిరాకు ఉందా?,en,symptom
symptom_report,i have skin patches,Skin patches can be psoriasis or dermatitis. Are they itchy dry or red?,చర్మంపై పచ్చలు ఉన్నాయా. అవి దురదగా పొడిగా లేదా ఎర్రగా ఉన్నాయా?,en,symptom
symptom_report,i have joint stiffness,Joint stiffness is common in arthritis. Do you have joint pain swelling or body pain?,కీళ్ల బిగుతు ఉందా. కీళ్ల నొప్పులు వాపు లేదా ఒంటి నొప్పులు ఉన్నాయా?,en,symptom
symptom_report,i have swollen feet,Swollen feet require medical review. Do you have swollen joints fatigue or dark urine?,పాదాల వాపు ఉందా. కీళ్ల వాపు అలసట లేదా చిక్కటి మూత్రం ఉందా?,en,symptom
symptom_report,i have snoring,Snoring can affect sleep quality. Do you have sleep apnea fatigue or dry mouth?,గురక ఉందా. నిద్రలో శ్వాస నిలిచిపోవడం అలసట ఉందా?,en,symptom
symptom_report,i have sneezing,Sneezing is common in colds and allergies. Do you have runny nose itchy eyes or sore throat?,తుమ్ములు ఉన్నాయా. ముక్కు కారడం కళ్ల దురద లేదా గొంతు నొప్పి ఉందా?,en,symptom
symptom_report,i have cold hands,Cold hands can be circulation-related. Do you have cold feet fatigue or numbness?,చల్లని చేతులు ఉన్నాయా. చల్లని పాదాలు అలసట లేదా తిమ్మిరి ఉందా?,en,symptom
symptom_report,i have cold feet,Cold feet often accompany cold hands. Do you have cold hands fatigue or numbness?,చల్లని పాదాలు ఉన్నాయా. చల్లని చేతులు అలసట లేదా తిమ్మిరి ఉందా?,en,symptom
symptom_report,i have body weakness,Body weakness requires rest. Do you have fever muscle weakness or fatigue?,శరీర బలహీనత ఉందా. జ్వరం కండరాల బలహీనత లేదా అలసట ఉందా?,en,symptom
symptom_report,i have muscle weakness,Muscle weakness can be neurological. Do you have body weakness body pain or joint pain?,కండరాల బలహీనత ఉందా. శరీర బలహీనత ఒంటి నొప్పులు ఉన్నాయా?,en,symptom
symptom_report,i have swollen feet,Swollen feet can indicate fluid retention. Do you have swollen joints fatigue or dark urine?,పాదాల వాపు ఉందా. కీళ్ల వాపు అలసట లేదా చిక్కటి మూత్రం ఉందా?,en,symptom
symptom_report,i have sleep apnea,Sleep apnea disrupts breathing. Do you have snoring fatigue or insomnia?,నిద్రలో శ్వాస నిలిచిపోవడం ఉందా. గురక అలసట లేదా నిద్రలేమి ఉందా?,en,symptom
symptom_report,i have snoring,Snoring can be related to sleep apnea. Do you have sleep apnea daytime fatigue or dry mouth?,గురక ఉందా. నిద్రలో శ్వాస నిలిచిపోవడం అలసట ఉందా?,en,symptom
symptom_report,i have frequent sneezing,Frequent sneezing is common in allergies. Do you have runny nose itchy eyes or skin rash?,తరచుగా తుమ్ములు ఉన్నాయా. ముక్కు కారడం కళ్ల దురద ఉందా?,en,symptom
symptom_report,i have sneezing attacks,Sneezing attacks can be allergic. Do you have runny nose itchy eyes or sore throat?,తుమ్ముల దాడులు ఉన్నాయా. ముక్కు కారడం కళ్ల దురద ఉందా?,en,symptom
symptom_report,i have stomach bloat,Bloating can be uncomfortable. Do you have flatulence abdominal pain or heartburn?,కడుపు ఉబ్బరం ఉందా. గ్యాస్ సమస్య కడుపు నొప్పి ఉందా?,en,symptom
symptom_report,i have hives,Hives are itchy raised welts on skin. Do you have skin rash itching or swelling?,దద్దుర్లు ఉన్నాయా. చర్మంపై దద్దుర్లు దురద లేదా వాపు ఉందా?,en,symptom
symptom_report,i have skin blisters,Skin blisters can be from burn or infection. Are they itchy red or painful?,చర్మంపై పొక్కులు ఉన్నాయా. అవి దురదగా ఎర్రగా లేదా నొప్పితో ఉన్నాయా?,en,symptom
symptom_report,i have slow healing cuts,Slow healing cuts can be a sign of diabetes. Do you have excessive thirst or frequent urination?,నెమ్మదిగా తగ్గే గాయాలు ఉన్నాయా. ఎక్కువ దాహం లేదా తరచుగా మూత్రవిసర్జన ఉందా?,en,symptom
symptom_report,i have easy bruising,Easy bruising requires medical evaluation. Do you have skin peeling rash or fatigue?,సులభంగా కమిలిపోవడం ఉందా. చర్మం పొట్టు రాలడం అలసట ఉందా?,en,symptom
symptom_report,i have excessive thirst,Excessive thirst can indicate diabetes. Do you have frequent urination or excessive hunger?,ఎక్కువ దాహం వేస్తుందా. తరచుగా మూత్రవిసర్జన లేదా ఎక్కువ ఆకలి ఉందా?,en,symptom
symptom_report,i have excessive hunger,Excessive hunger can be related to metabolism. Do you have excessive thirst or weight loss?,ఎక్కువ ఆకలి వేస్తుందా. ఎక్కువ దాహం లేదా బరువు తగ్గడం ఉందా?,en,symptom
symptom_report,i have abdominal distension,Abdominal distension is visible stomach swelling. Do you have stomach pain nausea or vomiting?,కడుపు ఉబ్బరం ఉందా. కడుపు నొప్పి వికారం లేదా వాంతులు ఉన్నాయా?,en,symptom
symptom_report,i have urinary incontinence,Urinary incontinence is loss of bladder control. Do you have frequent or painful urination?,మూత్ర నియంత్రణ లేకపోవడం ఉందా. తరచుగా లేదా నొప్పితో కూడిన మూత్రవిసర్జన ఉందా?,en,symptom
symptom_report,i have blood in sputum,Warning: Blood in sputum is a serious symptom. Please seek immediate pulmonology consultation.,హెచ్చరిక: కఫంలో రక్తం పడటం అత్యవసర పరిస్థితి. వెంటనే వైద్యుడిని సంప్రదించండి.,en,emergency
symptom_report,i have phlegm,Phlegm indicates respiratory irritation. Do you have cough fever or sore throat?,కఫం ఉందా. దగ్గు జ్వరం లేదా గొంతు నొప్పి ఉందా?,en,symptom
symptom_report,i have stiff joints,Stiff joints can be due to arthritis. Do you have joint pain swelling or body pain?,కీళ్ల బిగుతు ఉందా. కీళ్ల నొప్పులు వాపు లేదా ఒంటి నొప్పులు ఉన్నాయా?,en,symptom
symptom_report,i have swollen joints,Swollen joints require rheumatology review. Do you have joint pain or stiffness?,కీళ్ల వాపు ఉందా. కీళ్ల నొప్పులు లేదా బిగుతు ఉందా?,en,symptom
symptom_report,i have joint swelling,Swelling in joints indicates inflammation. Do you have joint pain or stiffness?,కీళ్ల వాపు ఉందా. కీళ్ల నొప్పులు లేదా బిగుతు ఉందా?,en,symptom
symptom_report,i have heel pain,Heel pain can be plantar fasciitis. Do you have joint pain or muscle cramps?,మడమ నొప్పి ఉందా. కీళ్ల నొప్పి లేదా కండరాల తిమ్మిరి ఉందా?,en,symptom
symptom_report,i have mouth ulcers,Mouth ulcers can be due to vitamin deficiency. Do you have bleeding gums or bad breath?,నోటి పూత ఉందా. చిగుళ్ల నుండి రక్తం లేదా నోటి దుర్వాసన ఉందా?,en,symptom
symptom_report,i have difficulty swallowing,Difficulty swallowing requires urgent ENT exam. Do you have sore throat or hoarseness?,మింగడంలో ఇబ్బంది ఉందా. గొంతు నొప్పి లేదా గొంతు బొంగురుపోవడం ఉందా?,en,symptom
symptom_report,i have chest tightness,Warning: Chest tightness can indicate cardiovascular or respiratory emergencies. Go to ER.,హెచ్చరిక: ఛాతీ బిగుతు గుండె లేదా శ్వాసకోశ అత్యవసర పరిస్థితి కావచ్చు.,en,emergency
symptom_report,i have pale stools,Pale stools can be a liver or gallbladder concern. Do you have abdominal pain or yellow eyes?,లేత రంగు మలం ఉందా. కడుపు నొప్పి లేదా కళ్ళు పచ్చబడటం ఉన్నాయా?,en,symptom
symptom_report,i have severe itching,Severe itching can be allergic or systemic. Do you have skin rash or dry skin?,తీవ్రమైన దురద ఉందా. చర్మంపై దద్దుర్లు లేదా పొడి చర్మం ఉందా?,en,symptom
symptom_report,i feel confused,Warning: Confusion can indicate severe systemic illness or neurological emergencies. Go to ER.,హెచ్చరిక: గందరగోళం అనేది తీవ్రమైన నరాల లేదా వ్యవస్థాగత అత్యవసర పరిస్థితి.,en,emergency
symptom_report,i have memory loss,Memory loss can be neurological. Do you have confusion dizziness or headache?,జ్ఞాపకశక్తి తగ్గడం ఉందా. గందరగోళం కళ్ళు తిరగడం లేదా తలనొప్పి ఉందా?,en,symptom
symptom_report,i have tremor,Tremors require neurological evaluation. Do you have dizziness numbness or weakness?,వణుకు ఉందా. కళ్ళు తిరగడం తిమ్మిరి లేదా బలహీనత ఉందా?,en,symptom
symptom_report,i have seizures,Warning: Seizures require immediate medical care. Protect the patient and seek emergency help.,హెచ్చరిక: ఫిట్స్ (మూర్ఛ) రావడం అత్యవసర పరిస్థితి. వెంటనే అత్యవసర చికిత్స తీసుకోండి.,en,emergency
symptom_report,i fainted,Warning: Fainting requires medical investigation. Please seek immediate help.,హెచ్చరిక: స్పృహ తప్పడం అత్యవసర పరిస్థితి. వెంటనే వైద్య సహాయం తీసుకోండి.,en,emergency
symptom_report,i have burning urination,Burning during urination is a common symptom of UTI. Do you have frequent urination?,మూత్రవిసర్జనలో మంట ఉందా. తరచుగా మూత్రవిసర్జన ఉందా?,en,symptom
symptom_report,i have double sight,Double sight is double vision. Do you have blurred vision or headache?,రెండుగా కనిపించడం ఉందా. మసక చూపు లేదా తలనొప్పి ఉందా?,en,emergency
symptom_report,i have sneezing,Sneezing is common in colds and allergies. Do you have runny nose itchy eyes or sore throat?,తుమ్ములు ఉన్నాయా. ముక్కు కారడం కళ్ల దురద లేదా గొంతు నొప్పి ఉందా?,en,symptom
symptom_report,i feel weak,Weakness or fatigue requires rest. Do you have fever body pain or joint pain?,బలహీనత లేదా అలసట ఉందా. జ్వరం ఒంటి నొప్పులు లేదా కీళ్ల నొప్పులు ఉన్నాయా?,en,symptom
symptom_report,i feel anxious,Anxiety can cause palpitations or breathing difficulty. Do you have insomnia or irritability?,ఆందోళనగా ఉందా. నిద్రలేమి లేదా చిరాకు ఉందా?,en,symptom
symptom_report,i feel depressed,Depression affects daily function. Do you have insomnia weight loss or fatigue?,నిరాశగా ఉందా. నిద్రలేమి బరువు తగ్గడం లేదా అలసట ఉందా?,en,symptom
symptom_report,i have sleep problems,Sleep problems or insomnia require sleep hygiene. Do you have headache fatigue or irritability?,నిద్ర సమస్యలు ఉన్నాయా. తలనొప్పి అలసట లేదా చిరాకు ఉందా?,en,symptom
symptom_report,i have skin patches,Skin patches can be psoriasis or dermatitis. Are they itchy dry or red?,చర్మంపై పచ్చలు ఉన్నాయా. అవి దురదగా పొడిగా లేదా ఎర్రగా ఉన్నాయా?,en,symptom
